name,street,city,state,postalCode,floorSize,price,type_of_house,property_type,no_of_days,url
"1720 Halford Ave Apt 133, Santa Clara, CA 95051",1720 Halford Ave APT 133,Santa Clara,CA,95051,700,"$3,000/mo",1 bd1 ba700 sqft,Apartment for rent,75 days ago,https://www.zillow.com/homedetails/1720-Halford-Ave-APT-133-Santa-Clara-CA-95051/19551031_zpid/
"4109 Crandall Cir, Santa Clara, CA 95054",4109 Crandall Cir,Santa Clara,CA,95054,"1,716","$3,895/mo","3 bds2.5 ba1,716 sqft",Townhouse for rent,76 days ago,https://www.zillow.com/homedetails/4109-Crandall-Cir-Santa-Clara-CA-95054/64755757_zpid/
"1800 Civic Center Dr #jkp7gqjrr, Santa Clara, CA 95050",1800 Civic Center Dr #JKP7GQJRR,Santa Clara,CA,95050,700,"$1,850+/mo",1 bd1 ba700 sqft,Apartment for rent,78 days ago,https://www.zillow.com/homedetails/1800-Civic-Center-Dr-JKP7GQJRR-Santa-Clara-CA-95050/2078614640_zpid/
"3587 Agate Dr #214, Santa Clara, CA 95051",3587 Agate Dr #214,Santa Clara,CA,95051,"1,050","$3,690/mo","2 bds2 ba1,050 sqft",Apartment for rent,83 days ago,https://www.zillow.com/homedetails/3587-Agate-Dr-214-Santa-Clara-CA-95051/2079642934_zpid/
"3736 Poinciana Dr, Santa Clara, CA 95051",3736 Poinciana Dr,Santa Clara,CA,95051,"5,018","$1,895/mo","1 bd1 ba5,018 sqft",Apartment for rent,89 days ago,https://www.zillow.com/homedetails/3736-Poinciana-Dr-Santa-Clara-CA-95051/300473542_zpid/
"(Undisclosed Address), Santa Clara, CA 95054",(undisclosed Address),Santa Clara,CA,95054,"1,200","$3,395/mo","3 bds2 ba1,200 sqft",House for rent,93 days ago,https://www.zillow.com/homedetails/Santa-Clara-CA-95054/2078823953_zpid/
"3137 Allen Way, Santa Clara, CA 95051",3137 Allen Way,Santa Clara,CA,95051,"1,777","$4,300/mo","4 bds3 ba1,777 sqft",House for rent,95 days ago,https://www.zillow.com/homedetails/3137-Allen-Way-Santa-Clara-CA-95051/19601642_zpid/
"2174 Royal Dr Apt 3, Santa Clara, CA 95050",2174 Royal Dr APT 3,Santa Clara,CA,95050,,"$2,075/mo",1 bd1 ba-- sqft,Apartment for rent,96 days ago,https://www.zillow.com/homedetails/2174-Royal-Dr-APT-3-Santa-Clara-CA-95050/2100959615_zpid/
"3493 Geneva Dr, Santa Clara, CA 95051",3493 Geneva Dr,Santa Clara,CA,95051,"1,420","$4,000/mo","3 bds2 ba1,420 sqft",House for rent,96 days ago,https://www.zillow.com/homedetails/3493-Geneva-Dr-Santa-Clara-CA-95051/19601326_zpid/
"2248 Los Padres Blvd #3, Santa Clara, CA 95050",2248 Los Padres Blvd #3,Santa Clara,CA,95050,742,"$2,550/mo",2 bds1 ba742 sqft,Apartment for rent,96 days ago,https://www.zillow.com/homedetails/2248-Los-Padres-Blvd-3-Santa-Clara-CA-95050/2078874467_zpid/
"852 N Winchester Blvd, Santa Clara, CA 95050",852 N Winchester Blvd,Santa Clara,CA,95050,"1,100","$2,995/mo","2 bds2 ba1,100 sqft",Townhouse for rent,97 days ago,https://www.zillow.com/homedetails/852-N-Winchester-Blvd-Santa-Clara-CA-95050/153249440_zpid/
"470 California St Apt 8, Santa Clara, CA 95050",470 California St APT 8,Santa Clara,CA,95050,600,"$1,795/mo",1 bd1 ba600 sqft,Apartment for rent,97 days ago,https://www.zillow.com/homedetails/470-California-St-APT-8-Santa-Clara-CA-95050/2119153429_zpid/
"1720 Halford Ave Apt 325, Santa Clara, CA 95051",1720 Halford Ave APT 325,Santa Clara,CA,95051,678,"$1,800/mo",1 bd1 ba678 sqft,Apartment for rent,98 days ago,https://www.zillow.com/homedetails/1720-Halford-Ave-APT-325-Santa-Clara-CA-95051/19551065_zpid/
"1896 Market St Apt 8, Santa Clara, CA 95050",1896 Market St APT 8,Santa Clara,CA,95050,925,"$2,025/mo",2 bds1 ba925 sqft,Apartment for rent,98 days ago,https://www.zillow.com/homedetails/1896-Market-St-APT-8-Santa-Clara-CA-95050/2089442706_zpid/
"1505 Fremont St, Santa Clara, CA 95050",1505 Fremont St,Santa Clara,CA,95050,680,"$2,200/mo",1 bd1 ba680 sqft,Apartment for rent,99 days ago,https://www.zillow.com/homedetails/1505-Fremont-St-Santa-Clara-CA-95050/2108928295_zpid/
"2727 Mauricia Ave #a, Santa Clara, CA 95051",2727 Mauricia Ave #A,Santa Clara,CA,95051,"1,067","$2,700/mo","2 bds2 ba1,067 sqft",Apartment for rent,101 days ago,https://www.zillow.com/homedetails/2727-Mauricia-Ave-A-Santa-Clara-CA-95051/19600537_zpid/
"(Undisclosed Address), Santa Clara, CA 95054",(undisclosed Address),Santa Clara,CA,95054,"1,000","$2,350/mo","2 bds1 ba1,000 sqft",Apartment for rent,107 days ago,https://www.zillow.com/homedetails/Santa-Clara-CA-95054/2079022790_zpid/
"(Undisclosed Address), Santa Clara, CA 95051",(undisclosed Address),Santa Clara,CA,95051,"1,600","$4,850/mo","4 bds2 ba1,600 sqft",House for rent,114 days ago,https://www.zillow.com/homedetails/Santa-Clara-CA-95051/2091973242_zpid/
"4393 Laird Cir, Santa Clara, CA 95054",4393 Laird Cir,Santa Clara,CA,95054,"1,590","$4,250/mo","3 bds3 ba1,590 sqft",House for rent,115 days ago,https://www.zillow.com/homedetails/4393-Laird-Cir-Santa-Clara-CA-95054/64775554_zpid/
"988 Kiely Blvd Unit G, Santa Clara, CA 95051",988 Kiely Blvd UNIT G,Santa Clara,CA,95051,440,"$1,900/mo",1 bd1 ba440 sqft,Apartment for rent,116 days ago,https://www.zillow.com/homedetails/988-Kiely-Blvd-UNIT-G-Santa-Clara-CA-95051/19596877_zpid/
"2287 Pasetta Dr #3, Santa Clara, CA 95050",2287 Pasetta Dr #3,Santa Clara,CA,95050,750,"$2,450/mo",2 bds1 ba750 sqft,Apartment for rent,130 days ago,https://www.zillow.com/homedetails/2287-Pasetta-Dr-3-Santa-Clara-CA-95050/2079396281_zpid/
"2810-4 Malabar Ave, Santa Clara, CA 95051",2810-4 Malabar Ave,Santa Clara,CA,95051,750,"$2,500/mo",2 bds1 ba750 sqft,Apartment for rent,134 days ago,https://www.zillow.com/homedetails/2810-4-Malabar-Ave-Santa-Clara-CA-95051/2079672576_zpid/
"3132 Mckinley Dr, Santa Clara, CA 95051",3132 Mckinley Dr,Santa Clara,CA,95051,"1,365","$4,150/mo","3 bds2 ba1,365 sqft",House for rent,146 days ago,https://www.zillow.com/homedetails/3132-Mckinley-Dr-Santa-Clara-CA-95051/19602177_zpid/
"620 Park View Dr #211, Santa Clara, CA 95054",620 Park View Dr #211,Santa Clara,CA,95054,700,"$3,290/mo",1 bd1 ba700 sqft,Apartment for rent,210 days ago,https://www.zillow.com/homedetails/620-Park-View-Dr-211-Santa-Clara-CA-95054/2080651042_zpid/
"1389 Reeve St, Santa Clara, CA 95050",1389 Reeve St,Santa Clara,CA,95050,"5,306","$1,795/mo","1 bd1 ba5,306 sqft",Apartment for rent,262 days ago,https://www.zillow.com/homedetails/1389-Reeve-St-Santa-Clara-CA-95050/300473707_zpid/
"1750 Halford Ave, Santa Clara, CA 95051",1750 Halford Ave,Santa Clara,CA,95051,"1,000","$2,500/mo","2 bds2 ba1,000 sqft",Apartment for rent,40 days ago,https://www.zillow.com/homedetails/1750-Halford-Ave-Santa-Clara-CA-95051/2113733456_zpid/
"3818 Melody Ln, Santa Clara, CA 95051",3818 Melody Ln,Santa Clara,CA,95051,"1,430","$3,500/mo","4 bds2 ba1,430 sqft",House for rent,41 days ago,https://www.zillow.com/homedetails/3818-Melody-Ln-Santa-Clara-CA-95051/19618405_zpid/
"4142 Davis St, Santa Clara, CA 95054",4142 Davis St,Santa Clara,CA,95054,"1,240","$3,400/mo","3 bds2 ba1,240 sqft",Apartment for rent,41 days ago,https://www.zillow.com/homedetails/4142-Davis-St-Santa-Clara-CA-95054/19490547_zpid/
"4506 Billings Cir, Santa Clara, CA 95054",4506 Billings Cir,Santa Clara,CA,95054,"1,716","$5,950/mo","3 bds2.5 ba1,716 sqft",Townhouse for rent,41 days ago,https://www.zillow.com/homedetails/4506-Billings-Cir-Santa-Clara-CA-95054/69300401_zpid/
"854 Apollo Pl, Santa Clara, CA 95051",854 Apollo Pl,Santa Clara,CA,95051,"1,600","$3,900/mo","3 bds3.5 ba1,600 sqft",Townhouse for rent,41 days ago,https://www.zillow.com/homedetails/854-Apollo-Pl-Santa-Clara-CA-95051/166730760_zpid/
"(Undisclosed Address), Santa Clara, CA 95054",(undisclosed Address),Santa Clara,CA,95054,"1,736","$4,150/mo","3 bds3.5 ba1,736 sqft",Apartment for rent,42 days ago,https://www.zillow.com/homedetails/Santa-Clara-CA-95054/2078111034_zpid/
"1809 Silva Pl, Santa Clara, CA 95054",1809 Silva Pl,Santa Clara,CA,95054,"1,646","$3,600/mo","3 bds2.5 ba1,646 sqft",Townhouse for rent,42 days ago,https://www.zillow.com/homedetails/1809-Silva-Pl-Santa-Clara-CA-95054/69300306_zpid/
"1760 Halford Ave Unit 157, Santa Clara, CA 95051",1760 Halford Ave UNIT 157,Santa Clara,CA,95051,983,"$2,600/mo",2 bds2 ba983 sqft,Condo for rent,42 days ago,https://www.zillow.com/homedetails/1760-Halford-Ave-UNIT-157-Santa-Clara-CA-95051/19551148_zpid/
"944 Kiely Blvd Unit F, Santa Clara, CA 95051",944 Kiely Blvd UNIT F,Santa Clara,CA,95051,440,"$1,600/mo",Studio1 ba440 sqft,Apartment for rent,42 days ago,https://www.zillow.com/homedetails/944-Kiely-Blvd-UNIT-F-Santa-Clara-CA-95051/19597263_zpid/
"3775 Miramar Way #2, Santa Clara, CA 95051",3775 Miramar Way #2,Santa Clara,CA,95051,900,"$2,600/mo",2 bds1 ba900 sqft,Townhouse for rent,42 days ago,https://www.zillow.com/homedetails/3775-Miramar-Way-2-Santa-Clara-CA-95051/2078122706_zpid/
"4252 Atlantic Ct, Santa Clara, CA 95054",4252 Atlantic Ct,Santa Clara,CA,95054,"1,564","$3,580/mo","3 bds2.5 ba1,564 sqft",Townhouse for rent,45 days ago,https://www.zillow.com/homedetails/4252-Atlantic-Ct-Santa-Clara-CA-95054/19491400_zpid/
"851 Clyde Ave, Santa Clara, CA 95054",851 Clyde Ave,Santa Clara,CA,95054,"1,700","$4,300/mo","4 bds3 ba1,700 sqft",House for rent,46 days ago,https://www.zillow.com/homedetails/851-Clyde-Ave-Santa-Clara-CA-95054/19488001_zpid/
"2525 El Camino Real, Santa Clara, CA 95051",2525 El Camino Real,Santa Clara,CA,95051,560,"$1,950/mo",1 bd1 ba560 sqft,Townhouse for rent,46 days ago,https://www.zillow.com/homedetails/2525-El-Camino-Real-Santa-Clara-CA-95051/2116751782_zpid/
"1125 Lewis St, Santa Clara, CA 95050",1125 Lewis St,Santa Clara,CA,95050,700,"$2,700/mo",1 bd1 ba700 sqft,House for rent,47 days ago,https://www.zillow.com/homedetails/1125-Lewis-St-Santa-Clara-CA-95050/19579445_zpid/
"3529 Clinton Ave, Santa Clara, CA 95051",3529 Clinton Ave,Santa Clara,CA,95051,"1,056","$3,700/mo","3 bds2 ba1,056 sqft",House for rent,47 days ago,https://www.zillow.com/homedetails/3529-Clinton-Ave-Santa-Clara-CA-95051/19601268_zpid/
"3671 Peacock Ct Apt 8, Santa Clara, CA 95051",3671 Peacock Ct APT 8,Santa Clara,CA,95051,900,"$2,000/mo",2 bds1 ba900 sqft,Apartment for rent,47 days ago,https://www.zillow.com/homedetails/3671-Peacock-Ct-APT-8-Santa-Clara-CA-95051/2078176560_zpid/
"2020 Benton St #4, Santa Clara, CA 95050",2020 Benton St #4,Santa Clara,CA,95050,580,"$1,792/mo",1 bd1 ba580 sqft,Apartment for rent,48 days ago,https://www.zillow.com/homedetails/2020-Benton-St-4-Santa-Clara-CA-95050/2078190709_zpid/
"2201 Duvall Ct, Santa Clara, CA 95054",2201 Duvall Ct,Santa Clara,CA,95054,"1,667","$3,695/mo","3 bds2.5 ba1,667 sqft",House for rent,49 days ago,https://www.zillow.com/homedetails/2201-Duvall-Ct-Santa-Clara-CA-95054/19492149_zpid/
"2165 Monterey Ave, Santa Clara, CA 95051",2165 Monterey Ave,Santa Clara,CA,95051,"1,478","$3,600/mo","3 bds2 ba1,478 sqft",House for rent,49 days ago,https://www.zillow.com/homedetails/2165-Monterey-Ave-Santa-Clara-CA-95051/19555187_zpid/
"1400 White Dr, Santa Clara, CA 95051",1400 White Dr,Santa Clara,CA,95051,650,"$2,050/mo",1 bd1 ba650 sqft,Apartment for rent,50 days ago,https://www.zillow.com/homedetails/1400-White-Dr-Santa-Clara-CA-95051/300475083_zpid/
"2379 Fordham Dr, Santa Clara, CA 95051",2379 Fordham Dr,Santa Clara,CA,95051,"1,850","$4,000/mo","4 bds2 ba1,850 sqft",House for rent,51 days ago,https://www.zillow.com/homedetails/2379-Fordham-Dr-Santa-Clara-CA-95051/19554927_zpid/
"1515 Alpine Ave, Santa Clara, CA 95051",1515 Alpine Ave,Santa Clara,CA,95051,"15,560","$1,795/mo","1 bd1 ba15,560 sqft",Apartment for rent,51 days ago,https://www.zillow.com/homedetails/1515-Alpine-Ave-Santa-Clara-CA-95051/300475075_zpid/
"2464 Poett Ln, Santa Clara, CA 95051",2464 Poett Ln,Santa Clara,CA,95051,904,"$2,950/mo",2 bds1 ba904 sqft,Townhouse for rent,53 days ago,https://www.zillow.com/homedetails/2464-Poett-Ln-Santa-Clara-CA-95051/19553417_zpid/
"940 Kiely Blvd Unit F, Santa Clara, CA 95051",940 Kiely Blvd UNIT F,Santa Clara,CA,95051,900,"$2,100/mo",2 bds1 ba900 sqft,Apartment for rent,54 days ago,https://www.zillow.com/homedetails/940-Kiely-Blvd-UNIT-F-Santa-Clara-CA-95051/19597279_zpid/
"2370 Homestead Rd, Santa Clara, CA 95050",2370 Homestead Rd,Santa Clara,CA,95050,"7,050","$1,700/mo","1 bd1 ba7,050 sqft",Apartment for rent,55 days ago,https://www.zillow.com/homedetails/2370-Homestead-Rd-Santa-Clara-CA-95050/300475194_zpid/
"2497 Anna Dr Apt 11, Santa Clara, CA 95050",2497 Anna Dr APT 11,Santa Clara,CA,95050,700,"$1,695/mo",1 bd1 ba700 sqft,Apartment for rent,55 days ago,https://www.zillow.com/homedetails/2497-Anna-Dr-APT-11-Santa-Clara-CA-95050/2078283897_zpid/
"2384 Augusta Pl, Santa Clara, CA 95051",2384 Augusta Pl,Santa Clara,CA,95051,"1,034","$3,500/mo","3 bds2 ba1,034 sqft",House for rent,56 days ago,https://www.zillow.com/homedetails/2384-Augusta-Pl-Santa-Clara-CA-95051/19552479_zpid/
"2960 Homestead Rd Apt 3, Santa Clara, CA 95051",2960 Homestead Rd APT 3,Santa Clara,CA,95051,550,"$1,950/mo",1 bd1 ba550 sqft,Apartment for rent,60 days ago,https://www.zillow.com/homedetails/2960-Homestead-Rd-APT-3-Santa-Clara-CA-95051/2081504355_zpid/
"1883 Agnew Rd Unit 113, Santa Clara, CA 95054",1883 Agnew Rd UNIT 113,Santa Clara,CA,95054,"1,152","$2,649/mo","2 bds2 ba1,152 sqft",Apartment for rent,60 days ago,https://www.zillow.com/homedetails/1883-Agnew-Rd-UNIT-113-Santa-Clara-CA-95054/79842039_zpid/
"980 Kiely Blvd Unit 321, Santa Clara, CA 95051",980 Kiely Blvd UNIT 321,Santa Clara,CA,95051,622,"$1,945/mo",1 bd1 ba622 sqft,Apartment for rent,62 days ago,https://www.zillow.com/homedetails/980-Kiely-Blvd-UNIT-321-Santa-Clara-CA-95051/19597223_zpid/
"1368 El Camino Real Suite 202, Santa Clara, CA 95050",1368 El Camino Real SUITE 202,Santa Clara,CA,95050,"1,037","$3,200/mo","2 bds2 ba1,037 sqft",Apartment for rent,63 days ago,https://www.zillow.com/homedetails/1368-El-Camino-Real-SUITE-202-Santa-Clara-CA-95050/250642038_zpid/
"2371 Sutter Ave #10, Santa Clara, CA 95050",2371 Sutter Ave #10,Santa Clara,CA,95050,,"$2,195/mo",2 bds1 ba-- sqft,Apartment for rent,64 days ago,https://www.zillow.com/homedetails/2371-Sutter-Ave-10-Santa-Clara-CA-95050/2078406679_zpid/
"3702 Europe Ct, Santa Clara, CA 95051",3702 Europe Ct,Santa Clara,CA,95051,"1,843","$4,000/mo","3 bds2.5 ba1,843 sqft",Townhouse for rent,64 days ago,https://www.zillow.com/homedetails/3702-Europe-Ct-Santa-Clara-CA-95051/19618081_zpid/
"1540 Avina Cir Unit 5, Santa Clara, CA 95054",1540 Avina Cir UNIT 5,Santa Clara,CA,95054,"1,645","$3,700/mo","3 bds3 ba1,645 sqft",Townhouse for rent,3D Homes Icon3D Home,https://www.zillow.com/homedetails/1540-Avina-Cir-UNIT-5-Santa-Clara-CA-95054/94701327_zpid/
"4214 Marston Ln, Santa Clara, CA 95054",4214 Marston Ln,Santa Clara,CA,95054,"2,083","$4,600/mo","4 bds3.5 ba2,083 sqft",House for rent,65 days ago,https://www.zillow.com/homedetails/4214-Marston-Ln-Santa-Clara-CA-95054/59425583_zpid/
"1620 Newhall St, Santa Clara, CA 95050",1620 Newhall St,Santa Clara,CA,95050,750,"$3,000/mo",2 bds1 ba750 sqft,Apartment for rent,65 days ago,https://www.zillow.com/homedetails/1620-Newhall-St-Santa-Clara-CA-95050/153251216_zpid/
"990 Kiely Blvd, Santa Clara, CA 95051",990 Kiely Blvd,Santa Clara,CA,95051,440,"$1,950/mo",1 bd1 ba440 sqft,Apartment for rent,66 days ago,https://www.zillow.com/homedetails/990-Kiely-Blvd-Santa-Clara-CA-95051/2078517867_zpid/
"(Undisclosed Address), Santa Clara, CA 95054",(undisclosed Address),Santa Clara,CA,95054,908,"$3,500/mo",1 bd1 ba908 sqft,Apartment for rent,5 hours ago,https://www.zillow.com/homedetails/Santa-Clara-CA-95054/2079669475_zpid/
"41 Linden Dr, Santa Clara, CA 95050",41 Linden Dr,Santa Clara,CA,95050,"1,092","$3,400/mo","3 bds2 ba1,092 sqft",House for rent,8 hours ago,https://www.zillow.com/homedetails/41-Linden-Dr-Santa-Clara-CA-95050/19581269_zpid/
"1031 Clyde Ave Apt 203, Santa Clara, CA 95054",1031 Clyde Ave APT 203,Santa Clara,CA,95054,"1,300","$2,950/mo","2 bds2.5 ba1,300 sqft",Apartment for rent,16 hours ago,https://www.zillow.com/homedetails/1031-Clyde-Ave-APT-203-Santa-Clara-CA-95054/19488765_zpid/
"3056 Orthello Way, Santa Clara, CA 95051",3056 Orthello Way,Santa Clara,CA,95051,"1,890","$3,495/mo","4 bds1 ba1,890 sqft",House for rent,23 hours ago,https://www.zillow.com/homedetails/3056-Orthello-Way-Santa-Clara-CA-95051/19595015_zpid/
"151 Buckingham Dr Unit 241, Santa Clara, CA 95051",151 Buckingham Dr UNIT 241,Santa Clara,CA,95051,862,"$2,350/mo",1 bd1 ba862 sqft,Condo for rent,1 day ago,https://www.zillow.com/homedetails/151-Buckingham-Dr-UNIT-241-Santa-Clara-CA-95051/19601226_zpid/
"3710 Haig St #4, Santa Clara, CA 95054",3710 Haig St #4,Santa Clara,CA,95054,750,"$2,195/mo",2 bds1 ba750 sqft,Apartment for rent,1 day ago,https://www.zillow.com/homedetails/3710-Haig-St-4-Santa-Clara-CA-95054/2077602149_zpid/
"1958 Hillebrant Pl, Santa Clara, CA 95050",1958 Hillebrant Pl,Santa Clara,CA,95050,"1,560","$3,950/mo","3 bds3.5 ba1,560 sqft",Townhouse for rent,1 day ago,https://www.zillow.com/homedetails/1958-Hillebrant-Pl-Santa-Clara-CA-95050/94702427_zpid/
"1955 Murguia Ave, Santa Clara, CA 95050",1955 Murguia Ave,Santa Clara,CA,95050,"1,575","$3,500/mo","3 bds1 ba1,575 sqft",House for rent,1 day ago,https://www.zillow.com/homedetails/1955-Murguia-Ave-Santa-Clara-CA-95050/19580355_zpid/
"19 Roxbury St #4, Santa Clara, CA 95050",19 Roxbury St #4,Santa Clara,CA,95050,830,"$2,145/mo",2 bds1 ba830 sqft,Apartment for rent,1 day ago,https://www.zillow.com/homedetails/19-Roxbury-St-4-Santa-Clara-CA-95050/2077608473_zpid/
"2127 Monroe St Apt 3, Santa Clara, CA 95050",2127 Monroe St APT 3,Santa Clara,CA,95050,850,"$2,500/mo",2 bds1 ba850 sqft,Apartment for rent,1 day ago,https://www.zillow.com/homedetails/2127-Monroe-St-APT-3-Santa-Clara-CA-95050/2077609527_zpid/
"(Undisclosed Address), Santa Clara, CA 95051",(undisclosed Address),Santa Clara,CA,95051,"1,274","$4,100/mo","3 bds2 ba1,274 sqft",House for rent,2 days ago,https://www.zillow.com/homedetails/Santa-Clara-CA-95051/2086843394_zpid/
"2729 Mauricia Ave #a, Santa Clara, CA 95051",2729 Mauricia Ave #A,Santa Clara,CA,95051,"1,067","$2,700/mo","2 bds2 ba1,067 sqft",Condo for rent,2 days ago,https://www.zillow.com/homedetails/2729-Mauricia-Ave-A-Santa-Clara-CA-95051/19600536_zpid/
"1883 Agnew Rd Unit 255, Santa Clara, CA 95054",1883 Agnew Rd UNIT 255,Santa Clara,CA,95054,"1,361","$3,500/mo","3 bds2 ba1,361 sqft",Condo for rent,2 days ago,https://www.zillow.com/homedetails/1883-Agnew-Rd-UNIT-255-Santa-Clara-CA-95054/79847579_zpid/
"3705 Terstena Pl Apt 106, Santa Clara, CA 95051",3705 Terstena Pl APT 106,Santa Clara,CA,95051,"1,752","$3,500/mo","3 bds2 ba1,752 sqft",Apartment for rent,2 days ago,https://www.zillow.com/homedetails/3705-Terstena-Pl-APT-106-Santa-Clara-CA-95051/19550840_zpid/
"2250 Monroe St Apt 325, Santa Clara, CA 95050",2250 Monroe St APT 325,Santa Clara,CA,95050,743,"$2,000/mo",1 bd1 ba743 sqft,Apartment for rent,2 days ago,https://www.zillow.com/homedetails/2250-Monroe-St-APT-325-Santa-Clara-CA-95050/64780030_zpid/
"2438 Loma Vista Ln, Santa Clara, CA 95051",2438 Loma Vista Ln,Santa Clara,CA,95051,"1,197","$2,900/mo","2 bds1.5 ba1,197 sqft",Townhouse for rent,2 days ago,https://www.zillow.com/homedetails/2438-Loma-Vista-Ln-Santa-Clara-CA-95051/19553281_zpid/
"2414 Ruth Cabral Way, Santa Clara, CA 95050",2414 Ruth Cabral Way,Santa Clara,CA,95050,"1,768","$4,200/mo","3 bds2.5 ba1,768 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/2414-Ruth-Cabral-Way-Santa-Clara-CA-95050/19595172_zpid/
"846 Fremont St Apt 101, Santa Clara, CA 95050",846 Fremont St APT 101,Santa Clara,CA,95050,,"$2,295/mo",2 bds1 ba-- sqft,Apartment for rent,3 days ago,https://www.zillow.com/homedetails/846-Fremont-St-APT-101-Santa-Clara-CA-95050/2083867204_zpid/
"2820 Malabar Ave Apt 2, Santa Clara, CA 95051",2820 Malabar Ave APT 2,Santa Clara,CA,95051,650,"$2,050/mo",1 bd1 ba650 sqft,Apartment for rent,3 days ago,https://www.zillow.com/homedetails/2820-Malabar-Ave-APT-2-Santa-Clara-CA-95051/2083055061_zpid/
"820 Christopher Ct, Santa Clara, CA 95051",820 Christopher Ct,Santa Clara,CA,95051,"1,950","$3,995/mo","3 bds2 ba1,950 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/820-Christopher-Ct-Santa-Clara-CA-95051/19595397_zpid/
"2250 Monroe St Apt 144, Santa Clara, CA 95050",2250 Monroe St APT 144,Santa Clara,CA,95050,716,"$2,150/mo",1 bd1 ba716 sqft,Condo for rent,3 days ago,https://www.zillow.com/homedetails/2250-Monroe-St-APT-144-Santa-Clara-CA-95050/64891658_zpid/
"2120 Town And Country Ln, Santa Clara, CA 95050",2120 Town And Country Ln,Santa Clara,CA,95050,"1,296","$3,300/mo","3 bds2 ba1,296 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/2120-Town-And-Country-Ln-Santa-Clara-CA-95050/19606956_zpid/
"151 Buckingham Dr Unit 293, Santa Clara, CA 95051",151 Buckingham Dr UNIT 293,Santa Clara,CA,95051,"1,260","$3,495/mo","2 bds2 ba1,260 sqft",Apartment for rent,3 days ago,https://www.zillow.com/homedetails/151-Buckingham-Dr-UNIT-293-Santa-Clara-CA-95051/19601024_zpid/
"3024 Cameron Way, Santa Clara, CA 95051",3024 Cameron Way,Santa Clara,CA,95051,"2,100","$6,500/mo","4 bds3 ba2,100 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/3024-Cameron-Way-Santa-Clara-CA-95051/19602806_zpid/
"875 Bing Dr Apt 3, Santa Clara, CA 95051",875 Bing Dr APT 3,Santa Clara,CA,95051,783,"$2,400/mo",2 bds1 ba783 sqft,Apartment for rent,3 days ago,https://www.zillow.com/homedetails/875-Bing-Dr-APT-3-Santa-Clara-CA-95051/2077624635_zpid/
"1978 Bellomy St, Santa Clara, CA 95050",1978 Bellomy St,Santa Clara,CA,95050,"10,316","$2,100/mo","1 bd2.5 ba10,316 sqft",Apartment for rent,4 days ago,https://www.zillow.com/homedetails/1978-Bellomy-St-Santa-Clara-CA-95050/300474379_zpid/
"2409 Karen Dr #2, Santa Clara, CA 95050",2409 Karen Dr #2,Santa Clara,CA,95050,,"$2,100/mo",1 bd1 ba-- sqft,Apartment for rent,4 days ago,https://www.zillow.com/homedetails/2409-Karen-Dr-2-Santa-Clara-CA-95050/2078556654_zpid/
"3232 El Sobrante St, Santa Clara, CA 95051",3232 El Sobrante St,Santa Clara,CA,95051,650,"$1,800/mo",1 bd1 ba650 sqft,House for rent,4 days ago,https://www.zillow.com/homedetails/3232-El-Sobrante-St-Santa-Clara-CA-95051/19595142_zpid/
"2731 Mauricia Ave #a, Santa Clara, CA 95051",2731 Mauricia Ave #A,Santa Clara,CA,95051,"1,067","$2,700/mo","2 bds2 ba1,067 sqft",Condo for rent,4 days ago,https://www.zillow.com/homedetails/2731-Mauricia-Ave-A-Santa-Clara-CA-95051/19600535_zpid/
"1472 Rosalie Dr, Santa Clara, CA 95050",1472 Rosalie Dr,Santa Clara,CA,95050,"1,430","$4,700/mo","3 bds2 ba1,430 sqft",House for rent,4 days ago,https://www.zillow.com/homedetails/1472-Rosalie-Dr-Santa-Clara-CA-95050/19594244_zpid/
"1883 Agnew Rd Unit 423, Santa Clara, CA 95054",1883 Agnew Rd UNIT 423,Santa Clara,CA,95054,"1,361","$3,600/mo","3 bds2 ba1,361 sqft",Apartment for rent,4 days ago,https://www.zillow.com/homedetails/1883-Agnew-Rd-UNIT-423-Santa-Clara-CA-95054/79842566_zpid/
"3820 Peebles Pl, Santa Clara, CA 95051",3820 Peebles Pl,Santa Clara,CA,95051,"1,600","$3,950/mo","3 bds2.5 ba1,600 sqft",Townhouse for rent,4 days ago,https://www.zillow.com/homedetails/3820-Peebles-Pl-Santa-Clara-CA-95051/69301599_zpid/
"2015 Canary Island Ct, Santa Clara, CA 95050",2015 Canary Island Ct,Santa Clara,CA,95050,"1,708","$3,700/mo","3 bds2.5 ba1,708 sqft",Townhouse for rent,4 days ago,https://www.zillow.com/homedetails/2015-Canary-Island-Ct-Santa-Clara-CA-95050/19557769_zpid/
"3270 Cabrillo Ave Floor 2, Santa Clara, CA 95051",3270 Cabrillo Ave FLOOR 2,Santa Clara,CA,95051,"1,050","$2,275/mo","2 bds1 ba1,050 sqft",Apartment for rent,4 days ago,https://www.zillow.com/homedetails/3270-Cabrillo-Ave-FLOOR-2-Santa-Clara-CA-95051/2080185628_zpid/
"1907 Bellomy St, Santa Clara, CA 95050",1907 Bellomy St,Santa Clara,CA,95050,650,"$2,450/mo",1 bd1 ba650 sqft,House for rent,4 days ago,https://www.zillow.com/homedetails/1907-Bellomy-St-Santa-Clara-CA-95050/153249916_zpid/
